DOSTAWCY,LOKALIZACJA,ODBIÓR,SPOSÓB,MAILE / STRONY,DODATKOWE,ZAPAS,INTERWAL,STATYSTYKI
Kol-Dental,POLSKA,BRAK,MAILOWO,marzena.raniecka@koldental.com.pl,ZAWSZE MUSIMY POTWIERDZIĆ ZAMÓWIENIE,1 MIESIĄC,2,ŁĄCZNIE
KOMAN,POLSKA,KIEROWCA MIKRAN,MAILOWO,koman@koman.pl,na zamówienie,W RAZIE POTRZEBY,,ŁĄCZNIE
Konopka,POLSKA,ZLECAMY ODBIÓR,PRZEZ INTERNET,https://konopka3.com/,biuro@konopka3.com,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
KOS,POLSKA,BRAK,MAILOWO,kos@korund.pl,tel: (63) 272 02 19,6,1 MIESIĄC,ŁĄCZNIE
Larident,ZAGRANICA,BRAK,MAILOWO,Caroline@larident.it,Marco Rolleri: rolleri@larident.it/ inquiry: · assistenza@larident.it,4 MIESIĄCE,11,ŁĄCZNIE
Lascod,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,matteo@lascod.it,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
LEMI,POLSKA,BRAK,PRZEZ INTERNET,https://markery.pl/,login: aleksandra.stupczynska@mikran.com hasło: · Mikran.pl · tel. · 512 617 000,4 MIESIĄCE,13,ŁĄCZNIE
Lewa Dental,ZAGRANICA,BRAK,MAILOWO,info@lewa-dental.de,Monica Lohmiller,2 MIESIĄCE,5,ŁĄCZNIE
Luxdent,POLSKA,BRAK,MAILOWO,zamowienia@luxdent.pl,,W RAZIE POTRZEBY,,ŁĄCZNIE
Major,POLSKA,BRAK,MAILOWO,biuro@majorpl.pl,,biuro@majorpl.pl,Zamawia Natalia,ŁĄCZNIE
Makromed,POLSKA,BRAK,MAILOWO,rafal@makromed.com.pl,zamowienia@makromed.com.pl,1 MIESIĄC,3,ŁĄCZNIE
Mälzer Dental,ZAGRANICA,BRAK,MAILOWO,dkalisz@maelzer-dental.de,Damian Kalisz,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Marrodent,POLSKA,BRAK,MAILOWO,renata.konewecka@marrodent.pl,marek.fajkis@marrodent.pl · KSEF: ksef@marrodent.pl,W RAZIE POTRZEBY,,ŁĄCZNIE
MB DentinaLT (Shera),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,info@dentina.lt,Marijus Koržinskas,ROK,PÓŁ ROKU,ŁĄCZNIE
Medilab,POLSKA,BRAK,MAILOWO,handlowy@medilab.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Medin,ZAGRANICA,BRAK,MAILOWO,Iveta.PaulickovaSorfova@medin.cz,Paulíčková Šorfová Iveta,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Meditrans,POLSKA,BRAK,MAILOWO,hurt@meditrans.pl,w razie potrzeby,W RAZIE POTRZEBY,,ŁĄCZNIE
Megadenta,POLSKA,BRAK,TELEFONICZNIE,(89) 62 18 777,,3 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Mercator Medical,POLSKA,BRAK,MAILOWO,Agnieszka.Kaminska@pl. mercatormedical.eu https://emercator.com/ login: aleksandra.stupczynska@mikran.com hasło: Z4ngjSY!Pmvc7bQ,,2 MIESIĄCE,6,ŁĄCZNIE
Mesa,ZAGRANICA,BRAK,MAILOWO,east-europe@mesaitalia.it,DW: info@mesaitalia.it,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Mestra,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,administracion@mestra.es,Teresa Navas,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
MGM System,POLSKA,BRAK,MAILOWO,biuro@elitedent.pl,zęby EnigmaLife+,W RAZIE POTRZEBY,,ŁĄCZNIE
Model Tray,ZAGRANICA,BRAK,MAILOWO,info@model-tray.de,DOSTOSOWAĆ SYMBOLE WEDŁUG KATALOGU,PÓŁ ROKU,3 MIESIĄCE,ŁĄCZNIE
MOTYL-Pro (frezy),POLSKA,BRAK,MAILOWO,info@motylpro.pl,,1 MIESIĄC,2,ŁĄCZNIE
MOTYL-Pro (separatory),POLSKA,BRAK,MAILOWO,info@motylpro.pl,UAB Dentarina: dentarina2012@gmail.com (Ildar · Shamgunov),W RAZIE POTRZEBY,,ŁĄCZNIE
MOTYL-Pro (tarcze),POLSKA,BRAK,MAILOWO,info@motylpro.pl,,1 MIESIĄC,3,ŁĄCZNIE
MOTYL-Pro (trzymadełka),POLSKA,BRAK,MAILOWO,info@motylpro.pl,,1 MIESIĄC,3,ŁĄCZNIE
Natrodent,POLSKA,BRAK,MAILOWO,marzena.szczepaniak@natrodent.pl,kamila.siuta@natrodent.pl,1 MIESIĄC,3,ŁĄCZNIE
Neopak,POLSKA,BRAK,PRZEZ INTERNET,4 MIESIĄCE,,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Nyte3D,ZAGRANICA,BRAK,MAILOWO,info@nyte3d.de,,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
OMEC,ZAGRANICA,BRAK,MAILOWO,export@omec-snc.com,Angela Panzeri,2 MIESIĄCE,6,ŁĄCZNIE
Ortho-Expert,POLSKA,BRAK,MAILOWO,sylwia@orthoexpert.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Orto-Fan,POLSKA,BRAK,MAILOWO,g.zakrzewski@ortofan.pl,,W RAZIE POTRZEBY,,ŁĄCZNIE
PCB Service (Helling 3D),POLSKA,BRAK,MAILOWO,zamowienia@pcb.com.pl,oferty@pcb.com.pl,2 MIESIĄCE,6,ŁĄCZNIE
POL-INTECH,POLSKA,BRAK,PRZEZ INTERNET,https://polydent.pl/,login: katarzyna.mateja@mikran.com / hasło: · km1234,2 MIESIĄCE,5,ŁĄCZNIE
Polirapid,ZAGRANICA,BRAK,MAILOWO,poli@polirapid.de,,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Polkard,POLSKA,BRAK,MAILOWO,amarzoch@polkard.pl,tel. · 663838012,1 MIESIĄC,1,OSOBNO
Polkard BIS,POLSKA,BRAK,MAILOWO,handel@polkardbis.pl,Zbigniew Borkowski,1 MIESIĄC,3,ŁĄCZNIE
Polorto (Bond-A-Braid),POLSKA,BRAK,MAILOWO,lukasz.myslikowski@polorto.com.pl,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Primotec,ZAGRANICA,BRAK,MAILOWO,baumbach@primogroup.de,primotec@primogroup.de,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Prodento-Optimed,POLSKA,BRAK,MAILOWO,info@prodento.com.pl,Ryszard Nowicki · tel: · 602344121,1 MIESIĄC,1 MIESIĄC,ŁĄCZNIE
Profeta,IMPORT,ZLECAMY ODBIÓR,MAILOWO,zhouxin@profeta.cn,,zhouxin@profeta.cn,kevinsha@jincheng.work,ŁĄCZNIE
Protechno,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,maria@protechno.com,Maria Soms,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Rayshape,ZAGRANICA,MAILOWO,2 MIESIĄCE,4,,,,ŁĄCZNIE
Realloy,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,schneider@realloy.net,soehnigen@realloy.net / s.baysan@realloy.net,3 MIESIĄCE,6,ŁĄCZNIE
Reitel,ZAGRANICA,BRAK,MAILOWO,info@reitel.com,Christian Rösch: christian.roesch@reitel.com,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Renfert - EXCEL,ZAGRANICA,BRAK,MAILOWO,Miriam.Huber@renfert.de,Max - max.baitinger@renfert.de - szczegółowe pytania,2 MIESIĄCE,1 MIESIĄC,OSOBNO
Rhein83,ZAGRANICA,BRAK,MAILOWO,4 MIESIĄCE,6 · Rusneja (Bredent) · ZAGRANICA · BRAK · MAILOWO · mbrusneja@gmail.com,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
ROKO,POLSKA,BRAK,MAILOWO,d.rys@rokodent.com,,W RAZIE POTRZEBY,,ŁĄCZNIE
ROKO Rhein,POLSKA,BRAK,PRZEZ INTERNET,https://www.sklep.rokodent.com/,login: aleksandra.stupczynska@mikran.com / · hasło: Mikran.pl,W RAZIE POTRZEBY,,ŁĄCZNIE
RS-Team,POLSKA,BRAK,MAILOWO,z@rs-team.pl,DW: · g.romek@rs-team.pl,1 MIESIĄC,3,ŁĄCZNIE
Saeshin,IMPORT,ZLECAMY ODBIÓR,MAILOWO,strong@saeshin.com,,,,ŁĄCZNIE
Scheftner,ZAGRANICA,BRAK,MAILOWO,c.jossek@scheftner.dental &,service@scheftner.dental,PÓŁ ROKU,4 MIESIĄCE,ŁĄCZNIE
Schuler Dental,ZAGRANICA,BRAK,MAILOWO,export@schuler-dental.com,,2 MIESIĄCE,6,ŁĄCZNIE
Schutz Dental,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,O.Anghel@schuetz-dental.de,Zlecamy odbiór paczki (+25 kg Naxco),4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Shenzen Upcera,IMPORT,BRAK,MAILOWO,leo@upcera.com,,leo@upcera.com,Leo Qiu,ŁĄCZNIE
Silconic (Dent-e-con),ZAGRANICA,BRAK,MAILOWO,auftragsannahme@silconic.de,wsparcie Daniela Fischer: daniela. · fischer@silconic.de,2 MIESIĄCE,5,ŁĄCZNIE
Silesia Dental,POLSKA,BRAK,MAILOWO,a.grzegorczyk@silesiadental.pl,tel: · 71 317-51-53,2 MIESIĄCE,6,ŁĄCZNIE
SIRIO,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,sirio@siriodental.com,Monica Vignoli,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
SOJO (*),POLSKA,BRAK,MAILOWO,sojook@poczta.onet.pl,Stefan Jankowski / na zamówienie,W RAZIE POTRZEBY,,ŁĄCZNIE
Song Young,IMPORT,ZLECAMY ODBIÓR,MAILOWO,office@songyoung.com.tw,Yasmin,ROK,20,ŁĄCZNIE
Sorriso (PMMA ML),POLSKA,BRAK,MAILOWO,sorriso.kozlowski@gmail.com,,2 MIESIĄCE,3,ŁĄCZNIE
SPAW (kompresory),POLSKA,ZLECAMY ODBIÓR,MAILOWO,sklep@swiatnarzedzi.com,,W RAZIE POTRZEBY,,ŁĄCZNIE
Swiatowy (korektory),POLSKA,BRAK,TELEFONICZNIE,71 339 97 31,najmniejsza ilość korektorów do zamówienia to,W RAZIE POTRZEBY,100szt.,ŁĄCZNIE
Syntegre,POLSKA,BRAK,MAILOWO,przemyslaw.grabowski@syntegre.com,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Śniadeckich,POLSKA,BRAK,TELEFONICZNIE,56 664 40 75,,2 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Tamipol/Asti (worki strunowe),POLSKA,BRAK,MAILOWO,biuro@asti.info.pl,Tamipol: tel: 61 861 90 21,2 MIESIĄCE,7,ŁĄCZNIE
TECHIM,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,michela.ambrogio@techimgroup.com,,PÓŁ ROKU,2 MIESIĄCE,ŁĄCZNIE
Technet,POLSKA,BRAK,MAILOWO,t.bujanski@technetsa.pl,Tomasz Bujański,2 MIESIĄCE,7,ŁĄCZNIE
Techniflex (tarcze do EWA),POLSKA,BRAK,MAILOWO,sprzedaz.mszana@techniflex.pl,,ROK,PÓŁ ROKU,ŁĄCZNIE
