DOSTAWCA,SUMA DNI (GŁÓWNE),LICZBA DOSTAW (GŁÓWNE),ŚREDNI CZAS (GŁÓWNE),SUMA DNI (POBOCZNE),LICZBA DOSTAW (POBOCZNE),ŚREDNI CZAS (POBOCZNE),OSTATNIA AKTUALIZACJA
OMEC,25,3,8,,,,2026-05-28 20:35:23
Ortho-Expert,1,1,1,,,,2026-05-28 20:35:23
POL-INTECH,5,2,3,2,2,1,2026-05-28 20:35:23
Polirapid,,,,110,6,18,2026-05-28 20:35:23
Polkard,53,11,5,131,16,8,2026-05-28 20:35:23
Polkard BIS,24,12,2,7,4,2,2026-05-28 20:35:23
Primotec,8,2,4,,,,2026-05-28 20:35:23
Prodento-Optimed,29,3,10,11,3,4,2026-05-28 20:35:23
Protechno,18,2,9,,,,2026-05-28 20:35:23
Rayshape,6,1,6,,,,2026-05-28 20:35:23
Reitel,64,6,11,9,2,5,2026-05-28 20:35:23
Renfert - EXCEL,66,8,8,428,91,5,2026-05-28 20:35:23
Rhein83,3,1,3,,,,2026-05-28 20:35:23
ROKO,6,5,1,12,7,2,2026-05-28 20:35:23
ROKO Rhein,,,,1,1,1,2026-05-28 20:35:23
Rusneja (Bredent),43,6,7,42,9,5,2026-05-28 20:35:23
Scheftner,,,,9,1,9,2026-05-28 20:35:23
Schuler Dental,33,5,7,4,1,4,2026-05-28 20:35:23
Schutz Dental,35,4,9,9,3,3,2026-05-28 20:35:23
Shenzen Upcera,,,,32,1,32,2026-05-28 20:35:23
Silconic (Dent-e-con),15,2,8,4,1,4,2026-05-28 20:35:23
Silesia Dental,15,2,8,1,1,1,2026-05-28 20:35:23
SIRIO,10,2,5,6,1,6,2026-05-28 20:35:23
Sorriso (PMMA ML),30,2,15,,,,2026-05-28 20:35:23
Swiatowy (korektory),2,1,2,,,,2026-05-28 20:35:23
Tamipol/Asti (worki strunowe),2,1,2,,,,2026-05-28 20:35:23
TECHIM,49,1,49,12,1,12,2026-05-28 20:35:23
Ugin,26,4,7,10,2,5,2026-05-28 20:35:23
Up3D,5,1,5,4,1,4,2026-05-28 20:35:23
VANECO,5,2,3,,,,2026-05-28 20:35:23
VOCO,33,3,11,7,2,4,2026-05-28 20:35:23
Widlarz (Premium Business Services),2,1,2,,,,2026-05-28 20:35:23
Wiedent,15,4,4,39,8,5,2026-05-28 20:35:23
"ZEALIKE TECH CO., LIMITED",38,1,38,,,,2026-05-28 20:35:23
Zhermack,,,,8,1,8,2026-05-28 20:35:23
